DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP,COMMUNITY_COUNCIL_NEIGHBORHOOD
3,31XX MCHENRY AV,39.1436468592963,-84.5759835885022,WESTWOOD,WESTWOOD,"1,760",129007052,1,"CINC, OH 45206",BLACK,MALE,18,NONFATAL,03/20/2012 12:00:00 AM,MAR,165000,16,TUE,129007052,03/20/2012 04:50:00 PM,DISTRICT 3,45211,WESTWOOD
1,XX E LIBERTY ST,39.1133106980048,-84.5144750551358,OVER-THE-RHINE,OVER-THE-RHINE,"4,451",189028056,1,,BLACK,MALE,26,NONFATAL,10/19/2018 12:00:00 AM,OCT,030000,3,FRI,189028056,10/19/2018 03:00:00 AM,DISTRICT 1,,OTR
3,25XX WILLIAMSBURG DR,39.1565812473563,-84.5611909664242,VILLAGES AT ROLL HILL,VILLAGES AT ROLL HILL,"1,532",31106956,1,"CINC, OH 45225",BLACK,MALE,22,NONFATAL,08/09/2011 12:00:00 AM,AUG,011300,1,TUE,31106956,08/09/2011 01:13:00 AM,DISTRICT 3,45225,VILLAGES AT ROLL HILL
4,30XX GILBERT AV,39.1360466720814,-84.4851521579869,WALNUT HILLS,WALNUT HILLS,"2,042",129035597,1,0,BLACK,FEMALE,16,FATAL,12/09/2012 12:00:00 AM,DEC,011500,1,SUN,129035597,12/09/2012 01:15:00 AM,DISTRICT 4,45206,WALNUT HILLS
3,36XX VANVEY AV,39.1095787381209,-84.5712698971674,EAST PRICE HILL,EAST PRICE HILL,"1,055",31007225,2,"INDEPENDENCE, KY 4105",WHITE,MALE,30,NONFATAL,07/26/2010 12:00:00 AM,JUL,,N/A,MON,31007225,07/26/2010 12:00:00 AM,DISTRICT 3,45205,EAST PRICE HILL
4,36XX READING RD,39.1491638552849,-84.4877193450355,NORTH AVONDALE,AVONDALE,"2,777",149024879,1,"CINC, OH 45219",BLACK,MALE,38,NONFATAL,09/30/2014 12:00:00 AM,SEP,141000,14,TUE,149024879,09/30/2014 02:10:00 PM,DISTRICT 4,45229,AVONDALE - NORTH AVONDALE
4,31XX READING RD,39.1349064003831,-84.4967023167549,AVONDALE,AVONDALE,"3,003",159011510,3,"CINCINNATI, OH",BLACK,MALE,21,NONFATAL,05/09/2015 12:00:00 AM,MAY,012500,1,SAT,159011510,05/09/2015 01:25:00 AM,DISTRICT 4,45229,AVONDALE
4,6XX ROCKDALE AV,39.1449162602957,-84.4959447582199,AVONDALE,AVONDALE,"2,396",139026445,2,"CINC, OH 45223",BLACK,MALE,22,NONFATAL,09/26/2013 12:00:00 AM,SEP,004000,0,THU,139026445,09/26/2013 12:40:00 AM,DISTRICT 4,45229,AVONDALE
3,27XX E TOWER DR,39.1288602661964,-84.5943328191884,WESTWOOD,WESTWOOD,"2,023",129033122,1,,BLACK,MALE,28,NONFATAL,11/13/2012 12:00:00 AM,NOV,230000,23,TUE,129033122,11/13/2012 11:00:00 PM,DISTRICT 3,45238,WESTWOOD
3,7XX NEAVE ST,39.1038046702828,-84.5529257383891,LOWER PRICE HILL,LOWER PRICE HILL,"3,426",169007195,1,"CINCINNATI, OH 45237",BLACK,MALE,27,FATAL,03/28/2016 12:00:00 AM,MAR,215900,21,MON,169007195,03/28/2016 09:59:00 PM,DISTRICT 3,,LOWER PRICE HILL
5,2XX KLOTTER AV,39.12168520793,-84.5223051081927,CUF,CUF,"1,205",51006836,1,"CINC, OH 45219",WHITE,MALE,18,NONFATAL,11/07/2010 12:00:00 AM,NOV,,N/A,SUN,51006836,11/07/2010 12:00:00 AM,DISTRICT 5,45219,CUF
4,34XX HALLWOOD PL,39.1412360684561,-84.4973950651645,AVONDALE,AVONDALE,"1,747",129005732,1,"CINC, OH 45229",BLACK,MALE,13,NONFATAL,03/03/2012 12:00:00 AM,MAR,024100,2,SAT,129005732,03/03/2012 02:41:00 AM,DISTRICT 4,45229,AVONDALE
3,23XX BALTIMORE AV,39.150630285047,-84.5622248929399,EAST WESTWOOD,EAST WESTWOOD,722,30908682,1,,BLACK,MALE,24,NONFATAL,09/14/2009 12:00:00 AM,SEP,,N/A,MON,30908682,09/14/2009 12:00:00 AM,DISTRICT 3,45225,EAST WESTWOOD
4,3XX ROCKDALE AV,39.1450124348928,-84.5018260122192,AVONDALE,AVONDALE,"1,890",129020063,1,"CINC, OH 45220",BLACK,MALE,19,NONFATAL,07/19/2012 12:00:00 AM,JUL,110000,11,THU,129020063,07/19/2012 11:00:00 AM,DISTRICT 4,45229,AVONDALE
3,17XX WEBER AV,39.1558128896613,-84.5486702657302,SOUTH CUMMINSVILLE,SOUTH CUMMINSVILLE,"2,737",149022204,1,"CIN, OH 45204",BLACK,MALE,21,FATAL,09/04/2014 12:00:00 AM,SEP,194500,19,THU,149022204,09/04/2014 07:45:00 PM,DISTRICT 3,45223,SOUTH CUMMINSVILLE
2,15XX CHAPEL ST,39.1310805930699,-84.4779861956391,EAST WALNUT HILLS,WALNUT HILLS,840,21000114S1,1,,BLACK,MALE,27,NONFATAL,01/11/2010 12:00:00 AM,JAN,,N/A,MON,21000114S1,01/11/2010 12:00:00 AM,DISTRICT 2,45206,EAST WALNUT HILLS
2,DX,37.7962183903993,-89.3158636578326,,N/A,"3,245",159028042,1,"CINCINNATI, OH 45417",BLACK,MALE,35,NONFATAL,10/12/2015 12:00:00 AM,OCT,035200,3,MON,159028042,10/12/2015 03:52:00 AM,DISTRICT 2,,
3,12XX ROSEMONT AV,39.1164220892529,-84.5836655310465,WEST PRICE HILL,WEST PRICE HILL,219,30807030,2,,BLACK,MALE,19,NONFATAL,07/22/2008 12:00:00 AM,JUL,,N/A,TUE,30807030,07/22/2008 12:00:00 AM,DISTRICT 3,45205,WEST PRICE HILL
5,25XX FLANIGAN CT,39.2049556494308,-84.5755478302985,MT AIRY,MT. AIRY,"1,950",129024930,2,"CINC, OH 45224",BLACK,MALE,28,NONFATAL,09/03/2012 12:00:00 AM,SEP,143000,14,MON,129024930,09/03/2012 02:30:00 PM,DISTRICT 5,45239,
4,DX,37.7956183903993,-89.3167936578326,,N/A,"3,777",179000413,1,,BLACK,MALE,43,NONFATAL,01/05/2017 12:00:00 AM,JAN,043000,4,THU,179000413,01/05/2017 04:30:00 AM,DISTRICT 4,,
4,XX W 68TH ST,39.1925196021423,-84.4830853459661,CARTHAGE,CARTHAGE,"3,769",169034053,2,,BLACK,MALE,24,NONFATAL,12/28/2016 12:00:00 AM,DEC,212300,21,WED,169034053,12/28/2016 09:23:00 PM,DISTRICT 4,,CARTHAGE
4,16XX CALIFORNIA AV,39.1762686058161,-84.4697440732318,BOND HILL,BOND HILL,"2,917",159006335,1,"CINC, OH",BLACK,MALE,26,NONFATAL,03/17/2015 12:00:00 AM,MAR,225000,22,TUE,159006335,03/17/2015 10:50:00 PM,DISTRICT 4,45237,BOND HILL
1,1XX GREEN ST,39.1145901333412,-84.5183322505843,OVER-THE-RHINE,OVER-THE-RHINE,"1,780",129008457,1,"CINC, OH 45211",WHITE,MALE,23,NONFATAL,04/03/2012 12:00:00 AM,APR,194500,19,TUE,129008457,04/03/2012 07:45:00 PM,DISTRICT 1,45202,OTR
3,21XX STORRS ST,39.1033903028716,-84.5532092087636,LOWER PRICE HILL,LOWER PRICE HILL,"2,955",159008443,1,"CINCI, OH 45205",BLACK,FEMALE,36,NONFATAL,04/08/2015 12:00:00 AM,APR,221300,22,WED,159008443,04/08/2015 10:13:00 PM,DISTRICT 3,45204,LOWER PRICE HILL
3,20XX MILLVALE CIRCLE,39.1482874106005,-84.554966244208,MILLVALE,MILLVALE,"4,234",189007538,1,,WHITE,MALE,37,NONFATAL,03/23/2018 12:00:00 AM,MAR,125000,12,FRI,189007538,03/23/2018 12:50:00 PM,DISTRICT 3,,MILLVALE
2,62XX DESMOND ST,39.1614518478499,-84.3896068234782,MADISONVILLE,MADISONVILLE,"1,695",129000157,1,"CINC, OH 45227",BLACK,MALE,29,NONFATAL,01/02/2012 12:00:00 AM,JAN,140000,14,MON,129000157,01/02/2012 02:00:00 PM,DISTRICT 2,45227,MADISONVILLE
3,23XX NOTTINGHAM RD,39.1572349075242,-84.5592537321482,VILLAGES AT ROLL HILL,VILLAGES AT ROLL HILL,"1,138",31009640,1,"CINC, OH 45237",BLACK,MALE,41,NONFATAL,09/22/2010 12:00:00 AM,SEP,,N/A,WED,31009640,09/22/2010 12:00:00 AM,DISTRICT 3,45225,VILLAGES AT ROLL HILL
3,19XX WESTWOOD NORTHERN,39.142165098454,-84.557299747282,EAST WESTWOOD,MILLVALE,"2,512",149001792,1,"CINTI, OH 45225",BLACK,MALE,57,FATAL,01/24/2014 12:00:00 AM,JAN,,N/A,FRI,149001792,01/24/2014 12:00:00 AM,DISTRICT 3,45225,ENGLISH WOODS
3,12XX GILSEY AV,39.1166659284015,-84.5818030856609,WEST PRICE HILL,WEST PRICE HILL,"1,669",31110675,1,"CINC, OH 45205",BLACK,MALE,16,NONFATAL,12/08/2011 12:00:00 AM,DEC,205000,20,THU,31110675,12/08/2011 08:50:00 PM,DISTRICT 3,45205,WEST PRICE HILL
3,17XX ELMORE ST,39.1563647804311,-84.5440899242912,SOUTH CUMMINSVILLE,NORTHSIDE,36,50800990,1,,BLACK,MALE,18,FATAL,02/17/2008 12:00:00 AM,FEB,,N/A,SUN,50800990,02/17/2008 12:00:00 AM,DISTRICT 3,45223,NORTHSIDE -SOUTH CUMMINSVILLE
3,20XX WESTWOOD NORTHERN BV,39.1448388660744,-84.5595059043478,ENGLISH WOODS,MILLVALE,"1,053",31007313,1,"CINC, OH 45230",WHITE,MALE,30,NONFATAL,07/25/2010 12:00:00 AM,JUL,,N/A,SUN,31007313,07/25/2010 12:00:00 AM,DISTRICT 3,45225,MILLVALE
3,25XX ST LEO PL,39.132738259973,-84.5589605055773,NORTH FAIRMT,NORTH FAIRMOUNT,"4,118",179045407,1,,BLACK,MALE,17,NONFATAL,10/21/2017 12:00:00 AM,OCT,192500,19,SAT,179045407,10/21/2017 07:25:00 PM,DISTRICT 3,,NORTH FAIRMOUNT
1,17XX VINE ST,39.115578020861,-84.5157930287393,OVER-THE-RHINE,OVER-THE-RHINE,974,11001945,1,,BLACK,MALE,24,NONFATAL,05/21/2010 12:00:00 AM,MAY,,N/A,FRI,11001945,05/21/2010 12:00:00 AM,DISTRICT 1,45202,OTR
4,36XX VINE ST,39.15052215501,-84.5117813529999,AVONDALE,CLIFTON,430,40900152,1,,BLACK,MALE,23,NONFATAL,01/07/2009 12:00:00 AM,JAN,,N/A,WED,40900152,01/07/2009 12:00:00 AM,DISTRICT 4,45220,CLIFTON
5,XX CRAFT ST,39.1781975115523,-84.5114673997058,WINTON HILLS,WINTON HILLS,"3,975",179025400,1,,BLACK,MALE,20,NONFATAL,07/04/2017 12:00:00 AM,JUL,234000,23,TUE,179025400,07/04/2017 11:40:00 PM,DISTRICT 5,,SPRING GROVE VILLAGE
